    (5483, 21, -30),
    (5473, 25, -30),
    (5464, 25, -10),
    (5457, 29, -10),
    (5452, 34, -10),
    (5449, 41, -10),
    (5452, 49, -10),
    (5449, 55, -10),
    (5444, 61, -10),
    (5450, 55, -10),
    (5452, 48, -10),
    (5448, 39, -10),
    (5451, 32, -10),
    (5456, 28, -10),
    (5463, 26, -10),
    (5472, 26, -30),
    (5477, 21, -29),
    (5474, 15, -9),
    (5467, 11, 0),
    (5457, 11, 0),
    (5451, 14, 0),
    (5441, 14, 0),
    (5433, 16, 0),
    (5425, 18, 10),
    (5415, 18, 20),
    (5408, 12, 21),
    (5400, 11, 30),
    (5408, 13, 21),
    (5413, 18, 20),
    (5421, 19, 10),
    (5431, 19, 0),
    (5437, 16, 0),
    (5443, 12, 0),
    (5452, 12, 0),
    (5459, 9, 0),
    (5468, 11, 0),
    (5473, 16, -10),
    (5478, 21, -29),
    (5474, 26, -30),
